[2026-05-06 14:35:51] [WARN] UNAUTH_ACCESS | ip=127.0.0.1 | /api/admin/pointings
[2026-05-06 14:35:58] [WARN] LOGIN_FAIL | ip=127.0.0.1 | Tentative échouée (4 restantes)
[2026-05-06 14:36:34] [WARN] LOGIN_FAIL | ip=127.0.0.1 | Tentative échouée (3 restantes)
[2026-05-06 14:37:36] [WARN] UNAUTH_ACCESS | ip=127.0.0.1 | /api/admin/pointings
[2026-05-06 14:37:42] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
[2026-05-06 14:38:15] [INFO] PASSWORD_CHANGED | ip=127.0.0.1 | Mot de passe admin modifié
[2026-05-06 14:38:18] [INFO] LOGOUT | ip=127.0.0.1 | 
[2026-05-06 14:38:27] [WARN] LOGIN_FAIL | ip=127.0.0.1 | Tentative échouée (4 restantes)
[2026-05-06 14:38:34] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
[2026-05-06 15:19:33] [WARN] UNAUTH_ACCESS | ip=192.168.1.2 | /api/admin/pointings
[2026-05-06 15:23:22] [INFO] PASSWORD_CHANGED | ip=127.0.0.1 | Mot de passe admin modifié
[2026-05-06 15:30:36] [WARN] UNAUTH_ACCESS | ip=192.168.1.2 | /api/admin/pointings
[2026-05-06 15:51:16] [WARN] UNAUTH_ACCESS | ip=127.0.0.1 | /api/admin/pointings
[2026-05-06 15:51:25] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
[2026-05-06 15:52:39] [WARN] UNAUTH_ACCESS | ip=127.0.0.1 | /api/admin/pointings
[2026-05-06 15:52:47] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
[2026-05-06 15:56:25] [WARN] UNAUTH_ACCESS | ip=192.168.1.2 | /api/admin/pointings
[2026-05-06 15:56:28] [WARN] UNAUTH_ACCESS | ip=192.168.1.2 | /api/admin/pointings
[2026-05-06 16:00:17] [WARN] UNAUTH_ACCESS | ip=127.0.0.1 | /api/admin/pointings
[2026-05-06 16:00:25] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
[2026-05-06 16:01:38] [WARN] UNAUTH_ACCESS | ip=127.0.0.1 | /api/admin/pointings
[2026-05-06 16:01:46] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
[2026-05-06 16:04:26] [WARN] UNAUTH_ACCESS | ip=127.0.0.1 | /api/admin/pointings
[2026-05-06 16:05:00] [INFO] LOGIN_OK | ip=127.0.0.1 | Connexion admin réussie
